Training on cuda
Epoch 1: Loss 0.1829
Epoch 2: Loss 0.1489
Epoch 3: Loss 0.1301
Epoch 4: Loss 0.1157
Epoch 5: Loss 0.1050
Epoch 6: Loss 0.0972
Epoch 7: Loss 0.0910
Epoch 8: Loss 0.0861
Epoch 9: Loss 0.0818
Epoch 10: Loss 0.0788
Epoch 11: Loss 0.0759
Epoch 12: Loss 0.0737
Epoch 13: Loss 0.0716
Epoch 14: Loss 0.0700
Epoch 15: Loss 0.0687
Epoch 16: Loss 0.0671
Epoch 17: Loss 0.0660
Epoch 18: Loss 0.0652
Epoch 19: Loss 0.0643
